;fizikiai;1;szellemi;2;vegyes;3
árufeltöltő;1;;;;;
pénztáros;1;;;;;
részlegvezető;2;;;;;
raktári munkatárs;1;;;;;
menedzser;2;;;;;
reszortfelelős;1;;;;;
Áruellátási felelős;2;;;;;
Termelési segédmunkás;1;;;;;
Master Data koordinator;2;;;;;
állatgondozó;1;;;;;
HC QA Specialista;2;területi értékestési vezető;;;;
magán;0;;;;;
Alkalmazott az önki. osztályon;1;;;;;
igénytervező manager;2;;;;;
építésvezető;3;;;;;
Business Unit Manager;2;;;;;
ügyintéző;2;;;;;
klímaszerelő;1;;;;;
E-ker kiszolgálási munkatárs;1;;;;;
infokommunikációs szakértő;2;;;;;
Ügyviteli munkatárs;2;;;;;
termelési csoportvezető;2;;;;;
szakeladó;1;;;;;
alkalmazott az önkiszolgáló osztályon;1;;;;;
cukrász;1;;;;;
háztechnikus;1;;;;;
Alkalmazott az önkiszolgáló osztályon;1;;;;;
Pénztár host/hostess;1;;;;;
senior HR generalista;2;;;;;
Contact center representative;2;;;;;
gépkezelő;1;;;;;
Főpénztár/hostess zóna hostess;1;;;;;
irodavezető;2;;;;;
általános asszisztens;3;;;;;
pék eladó;1;;;;;
E-ker előkészítő munkatárs;1;;;;;
Áruösszekészítésért felelős munkatárs;2;;;;;
raktári kisegítő;1;;;;;
főkönyvelő;2;;;;;
raktáros;1;;;;;
magasemelős;1;;;;;
szoftverfejleszlő;2;;;;;
targoncavezető;1;;;;;
eladó;1;;;;;
kereskedő;1;;;;;
Éttermi dolgozó;1;;;;;
ISP áruházvezető;2;;;;;
boltvezető;2;;;;;
webshop kiszállító;1;;;;;
ügyfélszolgálati központ tájékoztatója;2;;;;;
áruellátó asszisztens;1;;;;;
értékesítési munkatárs;2;;;;;
közterület-felügyelő;1;;;;;
Elszámoltatási referens;2;;;;;
karbantartó;1;;;;;
segédmunkás;1;;;;;
Senior lean navigátor;2;;;;;
call center munkatárs;1;;;;;
fejlesztő;2;;;;;
munkavédelmi megbízott;2;;;;;
színész-drámatanár;3;;;;;
program fejlesztő támogató referens;2;;;;;
ISP NF vezető;2;;;;;
